Name,Address,City,Postcode,Latitude,Longitude
Darcy 2 Pharmacy,315 Spadina Ave,Toronto,M5T 2E9,43.65422,-79.39815
Datu'S Pharmacy,103-2238 Dundas Street West,Toronto,M6R 3A9,43.654385,-79.451499
Davenport Pharmacy,219 Davenport Rd. Unit 115,Toronto,M5R 1J3,43.696991,-79.285387
Davisville Pharmacy,4-1901 Yonge Street,Toronto,M4S 1Y6,43.698131,-79.396253
Dawes Drug Mart,424 Dawes Road,Toronto,M4B 2E9,43.701694,-79.297262
Delisle Pharmacy,1560 Yonge Street Upper Court Level,Toronto,M4T 2S9,43.689687,-79.39513
Delray Pharmacy,2812 Bathurst St,Toronto,M6B 3A6,43.713279,-79.428665
Demarco Pharmacy,2394 Keele St,Toronto,M6M 4A5,43.708653,-79.478052
Dom'S Pharmacy,3630 Victoria Park Ave.,Toronto,M2H 3B2,43.80714,-79.33875
Don Russell Drug Mart,2891 Lakeshore Blvd W,Toronto,M8V 1J1,43.60082,-79.503908
Don Valley Pharmacy,855 Broadview Ave,Toronto,M4K 2P9,43.6796,-79.35786
Downsview Park Pharmacy,100-2830 Keele Street,Toronto,M3M 3E5,43.730508,-79.483443
Downtown Dispensary Ii,1678 Dufferin Street,Toronto,M6H 3M1,43.677594,-79.443199
Drug Centre Discount Pharmacy,1473 Eglinton Ave W,Toronto,M6E 2G6,43.69807,-79.43923
Drug Store Pharmacy,17 Leslie Road,Toronto,M4M 3H9,43.660908,-79.328999
Drug Store Pharmacy,650 Dupont Street,Toronto,M6G 1Z2,43.672149,-79.421002
Drug Store Pharmacy,10 Lower Jarvis,Toronto,M5E 1Z9,43.64449,-79.36988
Drug Store Pharmacy,2280 Dundas Street W.,Toronto,M6R 1X4,43.65492,-79.45243
Drug Store Pharmacy,449 Carlaw Ave,Toronto,M4K 3H9,43.668303,-79.342753
Drugs Basics Pharmacy,1068 Danforth Avenue,Toronto,M4J 1M2,43.681062,-79.335646
Drugstore Pharmacy,50 Musgrave St,Toronto,M4E 3W2,43.68836,-79.28822
Drugstore Pharmacy,3671 Dundas St. West,Toronto,M6S 2T3,43.66587,-79.48593
Drugstore Pharmacy,700 Lawrence Ave W,Toronto,M6A 3B4,43.715932,-79.44497
Drugstore Pharmacy,985 Woodbine Avenue,Toronto,M4V 4B8,43.68686,-79.31302
Drugstore Pharmacy,222 Lansdowne Ave,Toronto,M6K 3C6,43.64956,-79.4407
Drugstore Pharmacy,1450 Lawrence Ave E,Toronto,M4A 2S8,43.741791,-79.313349
Drugstore Pharmacy,25 Photography Drive,Toronto,M6M 0A1,43.68678,-79.48377
Drugstore Pharmacy,1591 Wilson Avenue,Toronto,M3L 1A5,43.719818,-79.509437
Drugstore Pharmacy,1020 Islington Avenue,Toronto,M8Z 4R3,43.63428,-79.51984
Drugtown Pharmacy,1500 Royal York Road,Toronto,M9P 3B6,43.693136,-79.531393
Dufferin Central Pharmacy,1649 Dufferin St,Toronto,M6H 3L9,43.677305,-79.442501
Dufferin Drug Mart Pharmacy,1670 Dufferin St,Toronto,M6H 3M2,43.677414,-79.443249
Dufferin Finch Pharmacy,C1-2 Champagne Drive,Toronto,M3J 2C5,43.766427,-79.47234
Dufferin Medical Pharmacy,2045 Dufferin St,Toronto,M6E 3R4,43.686443,-79.446203
Duke Pharmacy,2798 Dundas St. W,Toronto,M6P 1Y5,43.665558,-79.462726
Dunbloor Medical Pharmacy,5115 Dundas Street West,Toronto,M9A 1C1,43.27184,-80.01323
Dundas Euclid Pharmacy,828 Dundas Street West,Toronto,M6J 1V3,43.651792,-79.409397
Dunn Pharmacy,1386 Queen Street West,Toronto,M6K 1L7,43.641434,-79.433671
