"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Blount County, TN"	"47009"	"Jul., 2018"	"2018/07"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jan., 2001"	"2001/01"	12	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Dec., 2001"	"2001/12"	16	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jan., 2002"	"2002/01"	14	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Nov., 2002"	"2002/11"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jul., 2003"	"2003/07"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Aug., 2003"	"2003/08"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Sep., 2003"	"2003/09"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"May, 2004"	"2004/05"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jun., 2004"	"2004/06"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Aug., 2004"	"2004/08"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Dec., 2004"	"2004/12"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Feb., 2005"	"2005/02"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jun., 2005"	"2005/06"	13	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Oct., 2005"	"2005/10"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jan., 2006"	"2006/01"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Feb., 2006"	"2006/02"	12	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jul., 2006"	"2006/07"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jan., 2007"	"2007/01"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Feb., 2007"	"2007/02"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Aug., 2007"	"2007/08"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Oct., 2007"	"2007/10"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jan., 2008"	"2008/01"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Nov., 2008"	"2008/11"	12	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Dec., 2008"	"2008/12"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jan., 2009"	"2009/01"	11	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Feb., 2009"	"2009/02"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Apr., 2009"	"2009/04"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jun., 2009"	"2009/06"	10	Not Applicable	Not Applicable
	"Davidson County, TN"	"47037"	"Jul., 2009"	"2009/07"	11	Not Applicable	Not Applicable
