"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Campbell County, KY"	"21037"	"Oct., 2012"	"2012/10"	10	Not Applicable	Not Applicable
	"Campbell County, KY"	"21037"	"Mar., 2017"	"2017/03"	10	Not Applicable	Not Applicable
	"Campbell County, KY"	"21037"	"Apr., 2017"	"2017/04"	10	Not Applicable	Not Applicable
	"Campbell County, KY"	"21037"	"Sep., 2017"	"2017/09"	10	Not Applicable	Not Applicable
	"Campbell County, KY"	"21037"	"Dec., 2017"	"2017/12"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Feb., 2014"	"2014/02"	13	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Aug., 2014"	"2014/08"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Oct., 2014"	"2014/10"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Nov., 2014"	"2014/11"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jan., 2015"	"2015/01"	12	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Apr., 2015"	"2015/04"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Sep., 2015"	"2015/09"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Nov., 2015"	"2015/11"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Dec., 2015"	"2015/12"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jan., 2016"	"2016/01"	13	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Mar., 2016"	"2016/03"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Apr., 2016"	"2016/04"	12	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jun., 2016"	"2016/06"	14	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Aug., 2016"	"2016/08"	17	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Sep., 2016"	"2016/09"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Dec., 2016"	"2016/12"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jan., 2017"	"2017/01"	15	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Feb., 2017"	"2017/02"	10	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Mar., 2017"	"2017/03"	12	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Apr., 2017"	"2017/04"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"May, 2017"	"2017/05"	12	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Oct., 2017"	"2017/10"	14	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Nov., 2017"	"2017/11"	13	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Dec., 2017"	"2017/12"	23	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Feb., 2018"	"2018/02"	16	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Mar., 2018"	"2018/03"	12	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Apr., 2018"	"2018/04"	15	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"May, 2018"	"2018/05"	13	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jun., 2018"	"2018/06"	12	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Jul., 2018"	"2018/07"	15	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Sep., 2018"	"2018/09"	11	Not Applicable	Not Applicable
	"Fayette County, KY"	"21067"	"Oct., 2018"	"2018/10"	17	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2000"	"2000/03"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2001"	"2001/10"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2002"	"2002/01"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Feb., 2003"	"2003/02"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Sep., 2003"	"2003/09"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2003"	"2003/10"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2003"	"2003/12"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2004"	"2004/03"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2005"	"2005/01"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2005"	"2005/03"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2005"	"2005/12"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2006"	"2006/01"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Aug., 2006"	"2006/08"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2006"	"2006/12"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2007"	"2007/03"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jul., 2007"	"2007/07"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Nov., 2007"	"2007/11"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Feb., 2008"	"2008/02"	14	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jul., 2008"	"2008/07"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2008"	"2008/10"	14	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2009"	"2009/01"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Apr., 2009"	"2009/04"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"May, 2009"	"2009/05"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jun., 2010"	"2010/06"	17	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Aug., 2010"	"2010/08"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2010"	"2010/10"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Nov., 2010"	"2010/11"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2011"	"2011/01"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"May, 2011"	"2011/05"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jun., 2011"	"2011/06"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jul., 2011"	"2011/07"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Aug., 2011"	"2011/08"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Sep., 2011"	"2011/09"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2011"	"2011/10"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Nov., 2011"	"2011/11"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2012"	"2012/01"	18	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Feb., 2012"	"2012/02"	18	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Apr., 2012"	"2012/04"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"May, 2012"	"2012/05"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jun., 2012"	"2012/06"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jul., 2012"	"2012/07"	18	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Aug., 2012"	"2012/08"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Sep., 2012"	"2012/09"	19	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2012"	"2012/10"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2012"	"2012/12"	23	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2013"	"2013/01"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Feb., 2013"	"2013/02"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2013"	"2013/03"	17	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Apr., 2013"	"2013/04"	18	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"May, 2013"	"2013/05"	13	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jun., 2013"	"2013/06"	20	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jul., 2013"	"2013/07"	10	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Aug., 2013"	"2013/08"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Sep., 2013"	"2013/09"	26	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2013"	"2013/10"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Nov., 2013"	"2013/11"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2013"	"2013/12"	22	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2014"	"2014/01"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Feb., 2014"	"2014/02"	17	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2014"	"2014/03"	14	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Apr., 2014"	"2014/04"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"May, 2014"	"2014/05"	17	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jun., 2014"	"2014/06"	12	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jul., 2014"	"2014/07"	18	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Aug., 2014"	"2014/08"	17	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Sep., 2014"	"2014/09"	11	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Oct., 2014"	"2014/10"	23	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Nov., 2014"	"2014/11"	16	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Dec., 2014"	"2014/12"	24	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jan., 2015"	"2015/01"	15	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Feb., 2015"	"2015/02"	19	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Mar., 2015"	"2015/03"	20	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Apr., 2015"	"2015/04"	19	Not Applicable	Not Applicable
	"Jefferson County, KY"	"21111"	"Jun., 2015"	"2015/06"	15	Not Applicable	Not Applicable
